material_e,Electric_Field(V/cm),Material,Knee_Temp(1000/T),Knee_PW(mW/mm^3)
Al2O3_500,500.0,Al2O3,0.639235917415,23.349666978512
Al2O3_1000,1000.0,Al2O3,0.6523828,21.50077831
BaTiO3_150,150.0,BaTiO3,0.8736696506,25.0268839541
BaTiO3_250,250.0,BaTiO3,0.9411082462,19.4927573989
BaTiO3_375,375.0,BaTiO3,0.9928464077,20.2660599461
BaTiO3_500,500.0,BaTiO3,1.0699982189,6.3062588427
CoMnO4_5,5.0,CoMnO4,1.3271327079,25.3147732945
CoMnO4_7.5,7.5,CoMnO4,1.5372742415,23.9342306616
CoMnO4_10,10.0,CoMnO4,1.562222022148195,43.703911268634286
CoMnO4_12.5,12.5,CoMnO4,1.6745331928345628,52.71750301470094
SiC_100,100.0,SiC,0.7081126090798082,42.50852592933782
SrTiO3_150,150.0,SrTiO3,0.6746303045536425,48.78244977348282
SrTiO3_500,500.0,SrTiO3,0.8532164383561643,43.67016753582697
SrTiO3_1000,1000.0,SrTiO3,0.9847772665481545,54.70339589256718
TiO2_150,150.0,TiO2,0.903458056099152,11.584103399864809
TiO2_250,250.0,TiO2,0.9407840834964124,13.910830386352965
TiO2_500,500.0,TiO2,1.0363282835909038,12.91468924284104
TiO2_1000,1000.0,TiO2,1.105324668377489,14.221535587818586
Y2O3_500,500.0,Y2O3,0.7263140715613504,25.935484852202663
Y2O3_750,750.0,Y2O3,0.7750652849740932,26.00239644770444
Y2O3_1000,1000.0,Y2O3,0.7997299998508287,34.584934698381005
ZrO2_60,60.0,ZrO2,0.7800810157458021,12.891409430455727
ZrO2_75,75.0,ZrO2,0.7948989591450382,13.309018928372488
ZrO2_90,90.0,ZrO2,0.8304905816895437,15.207533377283214
ZrO2_100,100.0,ZrO2,0.8466707319729075,12.749047410338047
ZrO2_120,120.0,ZrO2,0.8894784066903324,9.36714962556497
YSZ_50,50.0,YSZ,1.08854568387329,32.73856439571638
YSZ_70,70.0,YSZ,1.18431336790509,27.851108503153
YSZ_90,90.0,YSZ,1.2245614741368387,47.838545202673146
YSZ_130,130.0,YSZ,1.2927744640187422,36.089671644407176
YSZ_150,150.0,YSZ,1.3276463859920624,36.07200620912161
YSZ_170,170.0,YSZ,1.3448020993550829,33.48586475686727
YSZ_190,190.0,YSZ,1.34680968812133,45.98096711030145
YSZ_210,210.0,YSZ,1.3924824803977152,43.66073444903313
YSZ_230,230.0,YSZ,1.4104433165146597,35.58593536850271
YSZ_250,250.0,YSZ,1.4269543637915176,32.424293393230066
YSZ_290,290.0,YSZ,1.5847536646716975,20.988992702990263
YSZ_370,370.0,YSZ,1.6128045961067183,34.5364915160602
YSZ_390,390.0,YSZ,1.6136557035375256,32.15390335959842
YSZ_410,410.0,YSZ,1.6537268977947026,31.293622757492773
YSZ_430,430.0,YSZ,1.6663103854068209,38.88907610735304
YSZ_450,450.0,YSZ,1.6836976060017572,41.540296062163456
YSZ_470,470.0,YSZ,1.6925115221105858,38.12610133739839
YSZ_490,490.0,YSZ,1.7016633443115503,28.196726942395035
